,Religious Community Involvement,Local Venue Visitation,Secular Volunteer Service,Online Social Networking,Workplace Socializing,Athletic Engagement,Cultural-Hobby Participation,Neighborhood Integration,Broader Event and Group Participation,Friendship Through Connections,Non-Engagement Preference,Alternative Strategies,Not Clear / Uncodeable Responses,re_category_id,nh_category_id,Nigel_Match,Response,Key_Reasons,JSON
1,0,1,0,1,0,0,0,0,0,0,0,1,0,0101000000010,0101000000000,0,"go to the park, library, avoid bars - maybe once in a while - maybe the internet as well","This respondent made new friends by going to the park, library, occasionally visiting bars, and using the internet.","{ ""1"": ""0"", ""2"": ""1"", ""3"": ""0"", ""4"": ""1"", ""5"": ""0"", ""6"": ""1"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
3,0,0,1,0,0,1,0,0,0,0,0,0,0,0010010000000,0010011000000,0,"volunteering, joining exercise groups or clubs","This respondent made new friends by volunteering, joining exercise groups, and joining clubs.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""1"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
4,0,0,1,0,0,0,0,0,0,1,0,0,0,0010000001000,0000000001000,0,volunteering and asking known friends who might know people in the new area,This respondent made new friends by volunteering and asking known friends.,"{
""1"": ""0"",
""2"": ""0"",
""3"": ""1"",
""4"": ""0"",
""5"": ""0"",
""6"": ""0"",
""7"": ""0"",
""8"": ""0"",
""9"": ""0"",
""10"": ""1"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
7,0,0,0,0,0,0,0,0,1,0,0,0,0,0000000010000,0000001000000,0,Maybe going out to parties.,This respondent made new friends by going out to parties.,"{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
8,0,0,1,0,0,1,0,1,0,0,0,0,0,0010010100000,0000010000000,0,"I started seeking outdoor activities, volunteer work. Networking that way. Also, neighbors in my building.","This respondent made new friends by seeking outdoor activities, volunteer work, networking, and connecting with neighbors.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""0"", ""8"": ""1"", ""9"": ""1"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
9,0,0,0,1,0,0,0,0,0,0,0,0,0,0001000000000,0000000000001,0,Online chat,This respondent made new friends by using online chat.,"{
""1"": ""0"",
""2"": ""0"",
""3"": ""0"",
""4"": ""1"",
""5"": ""0"",
""6"": ""0"",
""7"": ""0"",
""8"": ""0"",
""9"": ""0"",
""10"": ""0"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
10,0,0,1,0,0,0,0,0,0,1,0,0,0,0010000001000,0000000001000,0,"Friends of friends, maybe volunteering.","This respondent made new friends by:
- Friends of friends
- Volunteering","{
""1"": ""0"",
""2"": ""0"",
""3"": ""1"",
""4"": ""0"",
""5"": ""0"",
""6"": ""0"",
""7"": ""0"",
""8"": ""0"",
""9"": ""0"",
""10"": ""1"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
11,0,0,1,0,0,1,0,1,0,0,0,0,0,0010010100000,0010111100000,0,"I like to meet people in my neighborhood. I also like to volunteer. Also meetup groups like hiking, dancing. If I was still working, work would be a possibility. I also like going to classes.","This respondent made new friends by meeting people in their neighborhood, volunteering, joining meetup groups, going to classes.","{
""1"": ""0"",
""2"": ""0"",
""3"": ""1"",
""4"": ""0"",
""5"": ""0"",
""6"": ""0"",
""7"": ""1"",
""8"": ""1"",
""9"": ""1"",
""10"": ""0"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0000100000000,0000110000000,0,Going out with coworkers and camping trips.,This respondent made new friends by going out with coworkers and going on camping trips.,"{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""1"", ""6"": ""1"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
13,0,0,0,0,0,0,0,0,0,0,0,1,0,0000000000010,0000000001000,0,probably through relatives,This respondent made new friends by connecting with relatives.,"{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
